Grado,Apellido Paterno,Apellido Materno,Nombre,Nivel,Institución de Adscripción,Área del Conocimiento
DR.,VAZQUEZ,MARTINEZ,OSVALDO TOMAS,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA.,FERNANDEZ,GARZA,NANCY ESTHELA,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,SOTO,DOMINGUEZ,ADOLFO,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
MED.,RODRIGUEZ,ROMO,LAURA NELY,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA.,LOERA,ARIAS,MARIA DE JESUS,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA.,GARCIA,GARCIA,ARACELY,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,RODRIGUEZ,ROCHA,HUMBERTO,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,GONZALEZ,SANTIAGO,OMAR,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,CORDOVA,FLETES,CARLOS,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
M. EN C.,MECOTT,RIVERA,GABRIEL ANGEL,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,CARRANZA,GARCIA,LUIS ENRIQUE,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA.,GARZA,GUAJARDO,RAQUEL,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA.,BARBOZA,QUINTANA,ORALIA,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,VILCHEZ,CAVAZOS,JOSE FELIX,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,DE LA O,CAVAZOS,MANUEL ENRIQUE,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,PEREZ,RODRIGUEZ,EDELMIRO,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,LARA,ARIAS,JORGE,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,MARTINEZ,RODRIGUEZ,HECTOR RAMON,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA.,SEPULVEDA,SEPULVEDA,ROSALINDA,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA.,RAMIREZ,CABRERA,MONICA AZUCENA,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
M. EN C.,GARZA,TREVIÑO,ELSA NANCY,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,GARZA,LEAL,JOSE GERARDO,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,CAMACHO,ORTIZ,ADRIAN,2,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA.,GOMEZ,MACIAS,GABRIELA SOFIA,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA.,MARTINEZ,GARZA,LAURA ELIA,2,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,ESQUIVEL,VALERIO,JORGE ANTONIO,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,MOHAMED,NORIEGA,KARIM,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA.,BARBOZA,CERDA,MARIA DEL CARMEN,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA.,TREVIÑO,GARZA,CONSUELO,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,PEREZ,MAYA,ANTONIO ALI,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,VILLANUEVA,OLIVO,ARNULFO,C,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,GALARZA,DELGADO,DIONICIO ANGEL,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA.,CHAVEZ,BRIONES,MARIA DE LOURDES,C,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA.,GONZALEZ,VILLASANA,VIANEY,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,VAZQUEZ,GUILLEN,JOSE MANUEL,C,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,SALAS,GARCIA,ROGELIO,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,GARCIA,JUAREZ,JAIME,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,BECERRIL,GARCIA,MIGUEL ANGEL,C,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,CAMARA,LEMARROY,CARLOS RODRIGO,2,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
MED.,VILLARREAL,MARTINEZ,LAURA,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,SANCHEZ,GONZALEZ,ALEJANDRO,C,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA.,DE LA GARZA,HERNANDEZ,ANA LAURA ISABEL,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
MED.,RODRIGUEZ,GUTIERREZ,RENE,2,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA.,PEREZ,IBAVE,DIANA CRISTINA,C,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
MED.,VERA,BADILLO,FRANCISCO EMILIO,2,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA.,MARTINEZ,TORRES,ANA CAROLINA,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA.,GARZA,TAPIA,MARSELA,C,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
MED.,SALINAS,TORRES,VICTOR MICHAEL,C,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,CARRILLO,FUENTEVILLA,ROBERTO,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
M. EN C.,GARZA,RODRIGUEZ,VERONICA,C,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
MED.,COLUNGA,PEDRAZA,PERLA ROCIO,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,CORDERO,FRANCO,HID FELIZARDO,C,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,CUELLAR,BARBOZA,ALFREDO BERNARDO,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
MED.,LAVALLE,GONZALEZ,FERNANDO JAVIER,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,ARREDONDO,ESPINOZA,EDER UBALDO,C,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
M. EN C.,TORRES,GONZALEZ,LILIANA,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,GALLARDO,BLANCO,HUGO LEONID,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA.,NAVA,GONZALEZ,EDNA JUDITH,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA.,MONTOYA,EGUIA,SANDRA LUCIA,C,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,HERNANDEZ,TRIANA,MANUEL TOMAS,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
M. EN C.,SALAZAR,RIOJAS,MARIA DEL ROSARIO,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
MED.,GONZALEZ,MORENO,EMMANUEL IRINEO,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,VILLARREAL,SILVA,ELIUD ENRIQUE,C,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
MED.,MARTINEZ,CABRIALES,SYLVIA AIDE,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
M. EN C.,ARIAS,CRUZ,ALFREDO,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA.,MORALES,SAN CLAUDIO,PILAR DEL CARMEN,C,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
M. EN C.,VEGA,MORALES,DAVID,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
MED.,MORALES,AVALOS,RODOLFO,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
MED.,MARTINEZ,RESENDEZ,MICHEL FERNANDO,C,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
MED.,GONZALEZ,RAMIREZ,ROGER ADRIAN,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,GUTIERREZ,DE LA O,JORGE,C,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,CASTRO,GARCIA,HERIBERTO,C,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,ARELLANOS,SOTO,DANIEL,C,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
MED.,OCAMPO,GARZA,JORGE ALEJANDRO,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
MED.,JAQUEZ,QUINTANA,JOEL OMAR,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA.,CARCAÑO,DIAZ,KATYA,C,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
MED.,GARCIA,RODRIGUEZ,FERNANDO,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
MED.,GOMEZ,DE LEON,ANDRES,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA.,GOMEZ,SILVA,MAGDALENA,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA.,DIAZ,PEREZ,ROSA NELLY,C,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,LOPEZ,SERNA,NORBERTO,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,ZAPATA,CHAVIRA,HOMERO ARTURO,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA.,RUBIO,PEREZ,NADINA EUGENIA,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,GARCIA,VERAZALUCE,JUAN JOSE,C,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,PEREZ,TRUJILLO,JOSE JUAN,C,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,DE LA FUENTE,VILLARREAL,DAVID,C,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA.,GOMEZ,GOVEA,MAYRA ALEJANDRA,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA.,LOZANO,SEPULVEDA,SONIA AMELIA,C,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,CAMPOS,ACEVEDO,LUIS DANIEL,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA.,BUSTAMANTE,sin apellido Materno,ADRIANA ESTER,1,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
MTRA.,VILLARREAL,MARTINEZ,ALEJANDRA,C,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA.,GRANO,MALDONADO,MAYRA IXCHEL,1,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Área II: BIOLOGÍA Y QUÍMICA
DRA.,ROLDAN,CLARA,BLANCA,C,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Área II: BIOLOGÍA Y QUÍMICA
DR.,FELIX,GASTELUM,RUBEN,2,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,SANCHEZ,SOTO,BARDO HELEODORO,1,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA.,MORA,ROMERO,GUADALUPE ARLENE,C,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,CORDERO,RAMIREZ,JESUS DAMIAN,C,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA.,LIZARRAGA,SANCHEZ,GLENDA JUDITH,C,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,LEYVA,LOPEZ,JUAN CARLOS,2,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Área V: CIENCIAS SOCIALES
DRA.,VELARDE,VALDEZ,MONICA,1,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Área V: CIENCIAS SOCIALES
DR.,AVILES,OCHOA,EZEQUIEL,2,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Área V: CIENCIAS SOCIALES
DRA.,ALVARADO,BORREGO,AIDA,1,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Área V: CIENCIAS SOCIALES
DR.,CHAVEZ,MARTINEZ,JOSE DE JESUS,1,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Área V: CIENCIAS SOCIALES
DRA.,LOPEZ,NEVAREZ,VIRGINIA,C,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Área V: CIENCIAS SOCIALES
DRA.,OLMOS,MARTINEZ,ELIZABETH,1,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Área V: CIENCIAS SOCIALES
DR.,LOPEZPORTILLO,TOSTADO,CARLOS,1,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Área V: CIENCIAS SOCIALES
DRA.,SANTILLAN,NUÑEZ,MARIA AIDA,C,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Área V: CIENCIAS SOCIALES
DR.,ALVAREZ,CARRILLO,PAVEL ANSELMO,C,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Área V: CIENCIAS SOCIALES
DRA.,CERVANTES,ROSAS,MARIA DE LOS ANGELES,1,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Área V: CIENCIAS SOCIALES
DR.,VALDEZ,LAFARGA,CUITLAHUAC,C,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Área V: CIENCIAS SOCIALES
DR.,GASTELUM,CHAVIRA,DIEGO ALONSO,C,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Área V: CIENCIAS SOCIALES
DR.,MALDONADO,ALCUDIA,CESAR MIGUEL,C,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Área V: CIENCIAS SOCIALES
DR.,LEON,SANTIESTEBAN,MARTIN,C,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Área V: CIENCIAS SOCIALES
DR.,SOLANO,NORIEGA,JESUS JAIME,C,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Área V: CIENCIAS SOCIALES
DRA.,IZABAL,DE LA GARZA,EVELIA DE JESUS,C,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Área V: CIENCIAS SOCIALES
M. EN C.,OSUNA,LOPEZ,JOSE ISIDRO,1,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DR.,GRIJALVA,VERDUGO,ABEL ANTONIO,1,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,GASTELUM,ESCALANTE,JORGE ANTONIO,1,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,MORENO,CANDIL,DAVID,C,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,COTA,YUCUPICIO,GISELA,C,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,CORONEL,CABANILLAS,ANA IMELDA,C,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,MENDIETA,VEGA,ROBERTO ANTONIO,C,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,DIAZ,CAMACHO,SYLVIA PAZ,2,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA.,MARTINEZ,VALENZUELA,MARIA DEL CARMEN,1,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR.,COLADO,VELAZQUEZ,JUVENTINO III,C,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA.,TINAJERO,TREJO,MARIANA,1,UNIVERSIDAD AUTONOMA DE OVIEDO,Área II: BIOLOGÍA Y QUÍMICA
DRA.,CUAN,HERNANDEZ,MARIA DE LOS ANGELES,1,UNIVERSIDAD AUTONOMA DE QUERETARO,Área II: BIOLOGÍA Y QUÍMICA
DRA.,ROJAS,MOLINA,MARIA ALEJANDRA,2,UNIVERSIDAD AUTONOMA DE QUERETARO,Área II: BIOLOGÍA Y QUÍMICA
DRA.,MARTINEZ,Y DIAZ DE SALAS,MAHINDA LUISA FERNANDA,1,UNIVERSIDAD AUTONOMA DE QUERETARO,Área II: BIOLOGÍA Y QUÍMICA
DR.,HERNANDEZ,SANDOVAL,LUIS GERARDO,1,UNIVERSIDAD AUTONOMA DE QUERETARO,Área II: BIOLOGÍA Y QUÍMICA
DR.,BAH,sin apellido Materno,MAMADOU MOUSTAPHA,2,UNIVERSIDAD AUTONOMA DE QUERETARO,Área II: BIOLOGÍA Y QUÍMICA
DRA.,GARCIA,ALCOCER,MARIA GUADALUPE,1,UNIVERSIDAD AUTONOMA DE QUERETARO,Área II: BIOLOGÍA Y QUÍMICA
DRA.,MEJIA,VAZQUEZ,MARIA DEL CARMEN,1,UNIVERSIDAD AUTONOMA DE QUERETARO,Área II: BIOLOGÍA Y QUÍMICA
DR.,IBARRA,ALVARADO,CESAR,1,UNIVERSIDAD AUTONOMA DE QUERETARO,Área II: BIOLOGÍA Y QUÍMICA
DR.,STEINMANN,sin apellido Materno,VICTOR WERNER,2,UNIVERSIDAD AUTONOMA DE QUERETARO,Área II: BIOLOGÍA Y QUÍMICA
DRA.,GARCIA,OBREGON,OLGA PATRICIA,2,UNIVERSIDAD AUTONOMA DE QUERETARO,Área II: BIOLOGÍA Y QUÍMICA
DRA.,BERUMEN,SEGURA,LAURA CRISTINA,1,UNIVERSIDAD AUTONOMA DE QUERETARO,Área II: BIOLOGÍA Y QUÍMICA
DR.,CAMPOS,GUILLEN,JUAN,1,UNIVERSIDAD AUTONOMA DE QUERETARO,Área II: BIOLOGÍA Y QUÍMICA
DR.,CERVANTES,CHAVEZ,JOSE ANTONIO,1,UNIVERSIDAD AUTONOMA DE QUERETARO,Área II: BIOLOGÍA Y QUÍMICA
DR.,BARCENAS,LUNA,ROLANDO TENOCH,1,UNIVERSIDAD AUTONOMA DE QUERETARO,Área II: BIOLOGÍA Y QUÍMICA
DRA.,RODRIGUEZ,TORRES,ANGELINA,1,UNIVERSIDAD AUTONOMA DE QUERETARO,Área II: BIOLOGÍA Y QUÍMICA
DRA.,DE LA TORRE,CARBOT,KARINA,1,UNIVERSIDAD AUTONOMA DE QUERETARO,Área II: BIOLOGÍA Y QUÍMICA
DR.,ESQUIVEL,NARANJO,EDGARDO ULISES,1,UNIVERSIDAD AUTONOMA DE QUERETARO,Área II: BIOLOGÍA Y QUÍMICA
DR.,CHAVEZ,SERVIN,JORGE LUIS,1,UNIVERSIDAD AUTONOMA DE QUERETARO,Área II: BIOLOGÍA Y QUÍMICA
DR.,GARCIA,ARREDONDO,JOSE ALEJANDRO,1,UNIVERSIDAD AUTONOMA DE QUERETARO,Área II: BIOLOGÍA Y QUÍMICA
DRA.,LOPEZ,HIDALGO,MONICA ANDREA,C,UNIVERSIDAD AUTONOMA DE QUERETARO,Área II: BIOLOGÍA Y QUÍMICA
DRA.,RIBEIRO,PALACIOS,MONICA,C,UNIVERSIDAD AUTONOMA DE QUERETARO,Área II: BIOLOGÍA Y QUÍMICA
DRA.,GARRIDO,ESPINOSA,ETZEL,1,UNIVERSIDAD AUTONOMA DE QUERETARO,Área II: BIOLOGÍA Y QUÍMICA
DR.,RAMIREZ,HERREJON,JUAN PABLO,1,UNIVERSIDAD AUTONOMA DE QUERETARO,Área II: BIOLOGÍA Y QUÍMICA
DRA.,SANCHEZ,TUSIE,ANA ALICIA,1,UNIVERSIDAD AUTONOMA DE QUERETARO,Área II: BIOLOGÍA Y QUÍMICA
DRA.,AHUMADA,SOLORZANO,SANTIAGA MARISELA,C,UNIVERSIDAD AUTONOMA DE QUERETARO,Área II: BIOLOGÍA Y QUÍMICA
DR.,LUNA,VAZQUEZ,FRANCISCO JAVIER,1,UNIVERSIDAD AUTONOMA DE QUERETARO,Área II: BIOLOGÍA Y QUÍMICA
DRA.,HERNANDEZ,CAMACHO,NORMA,C,UNIVERSIDAD AUTONOMA DE QUERETARO,Área II: BIOLOGÍA Y QUÍMICA
DR.,ROMO,MANCILLAS,RUBEN ANTONIO,C,UNIVERSIDAD AUTONOMA DE QUERETARO,Área II: BIOLOGÍA Y QUÍMICA
DR.,PEREZ,MENDOZA,MOISES,C,UNIVERSIDAD AUTONOMA DE QUERETARO,Área II: BIOLOGÍA Y QUÍMICA
DRA.,CARDENAS,ROBLES,ARELY IRAIS,C,UNIVERSIDAD AUTONOMA DE QUERETARO,Área II: BIOLOGÍA Y QUÍMICA
DR.,MONDRAGON,JACOBO,CANDELARIO,1,UNIVERSIDAD AUTONOMA DE QUERETARO,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,CANTO,ALARCON,GERMINAL JORGE,2,UNIVERSIDAD AUTONOMA DE QUERETARO,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,MERCADO,SILVA,EDMUNDO MATEO,2,UNIVERSIDAD AUTONOMA DE QUERETARO,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,VEGA,Y MURGUIA,CARLOS AGUSTIN,1,UNIVERSIDAD AUTONOMA DE QUERETARO,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,MILIAN,SUAZO,FELICIANO,1,UNIVERSIDAD AUTONOMA DE QUERETARO,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,SUZAN,AZPIRI,HUMBERTO,1,UNIVERSIDAD AUTONOMA DE QUERETARO,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA.,LOARCA,PIÑA,MA GUADALUPE FLAVIA,3,UNIVERSIDAD AUTONOMA DE QUERETARO,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,REGALADO,GONZALEZ,CARLOS,3,UNIVERSIDAD AUTONOMA DE QUERETARO,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR.,TORRES,PACHECO,IRINEO,2,UNIVERSIDAD AUTONOMA DE QUERETARO,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
